step,time_sec,ipc_active_samples,ipc_solver_time_sec,ipc_energy_main,ipc_energy_sub0,ipc_ls_active_samples,ipc_ls_solver_time_sec,ipc_ls_energy_main,ipc_ls_energy_sub0,penalty_active_samples,penalty_solver_time_sec,penalty_energy_main,penalty_energy_sub0
0.0,0.0,0.0,0.00433,-0.048118,6.82121e-12,0.0,0.003055,-0.048118,6.82121e-12,0.0,0.006837,-0.048118,6.82121e-12
1.0,0.001,0.0,0.003766,-0.192472,9.09495e-12,0.0,0.003378,-0.192472,9.09495e-12,0.0,0.005266,-0.192472,9.09495e-12
2.0,0.002,0.0,0.003853,-0.433062,4.33431e-12,0.0,0.003596,-0.433062,4.33431e-12,0.0,0.006634,-0.433062,4.33431e-12
3.0,0.003,0.0,0.00387,-0.769889,1.20082e-12,0.0,0.003314,-0.769889,1.20082e-12,0.0,0.004419,-0.769889,1.20082e-12
4.0,0.004,0.0,0.041611,-1.20295,5.60618e-12,0.0,0.00322,-1.20295,5.60618e-12,0.0,0.00398,-1.20295,5.60618e-12
5.0,0.005,0.0,0.013879,-1.73225,8.95284e-13,0.0,0.025075,-1.73225,8.95284e-13,0.0,0.024771,-1.73225,8.95284e-13
6.0,0.006,0.0,0.006463,-2.35778,3.5385e-12,0.0,0.014058,-2.35778,3.5385e-12,0.0,0.00478,-2.35778,3.5385e-12
7.0,0.007,0.0,0.004299,-3.07955,3.13349e-12,0.0,0.003193,-3.07955,3.2756e-12,0.0,0.003961,-3.07955,3.41771e-12
8.0,0.008,0.0,0.00452,-3.89756,6.09646e-12,0.0,0.06785,-3.89756,5.80513e-12,0.0,0.004454,-3.89756,6.08935e-12
9.0,0.009000000000000001,0.0,0.003783,-4.8118,3.16192e-12,0.0,0.0061,-4.8118,2.94875e-12,0.0,0.004452,-4.8118,2.87059e-12
10.0,0.01,0.0,0.004302,-5.82228,7.49623e-12,0.0,0.005235,-5.82228,7.39675e-12,0.0,0.004066,-5.82228,6.71463e-12
11.0,0.011,0.0,0.003585,-6.929,6.31672e-12,0.0,0.004717,-6.929,6.03251e-12,0.0,0.005184,-6.929,5.52802e-12
12.0,0.012,0.0,0.005345,-8.13195,7.48912e-12,0.0,0.005018,-8.13195,6.47304e-12,0.0,0.00396,-8.13195,8.31335e-12
13.0,0.013000000000000001,0.0,0.003734,-9.43114,4.78906e-12,0.0,0.004275,-9.43114,4.5759e-12,0.0,0.003483,-9.43114,4.53326e-12
14.0,0.014,0.0,0.005012,-10.8266,5.97566e-12,0.0,0.008422,-10.8266,6.78568e-12,0.0,0.004045,-10.8266,6.91358e-12
15.0,0.015,0.0,0.004291,-12.3182,7.09832e-12,0.0,0.004444,-12.3182,7.3257e-12,0.0,0.01709,-12.3182,6.09646e-12
16.0,0.016,0.0,0.003752,-13.9061,7.7307e-12,0.0,0.009665,-13.9061,7.65965e-12,0.0,0.00444,-13.9061,8.64731e-12
17.0,0.017,0.0,0.007304,-15.5902,6.68621e-12,0.0,0.005718,-15.5902,7.74492e-12,0.0,0.004766,-15.5902,7.89413e-12
18.0,0.018000000000000002,0.0,0.004425,-17.3706,5.91172e-12,0.0,0.003466,-17.3706,7.65255e-12,0.0,0.003947,-17.3706,6.74305e-12
19.0,0.019,0.0,0.004392,-19.2472,7.2049e-12,0.0,0.003935,-19.2472,8.2494e-12,0.0,0.004628,-19.2472,8.58336e-12
20.0,0.02,0.0,0.004016,-21.2201,7.11964e-12,0.0,0.006747,-21.2201,3.56692e-12,0.0,0.004351,-21.2201,3.04112e-12
21.0,0.021,0.0,0.005192,-23.2891,5.21538e-12,0.0,0.004084,-23.2891,4.9738e-12,0.0,0.00445,-23.2891,4.3201e-12
22.0,0.022,0.0,0.004148,-25.4544,5.65592e-12,0.0,0.003909,-25.4544,5.03064e-12,0.0,0.006105,-25.4544,4.4551e-12
23.0,0.023,0.0,0.004903,-27.716,5.34328e-12,0.0,0.004342,-27.716,4.59721e-12,0.0,0.003437,-27.716,4.56168e-12
24.0,0.024,0.0,0.046142,-30.0738,6.57252e-12,0.0,0.004032,-30.0738,6.55831e-12,0.0,0.004925,-30.0738,6.09646e-12
25.0,0.025,0.0,0.005467,-32.5278,5.22959e-12,0.0,0.003565,-32.5278,5.1088e-12,0.0,0.007401,-32.5278,5.46407e-12
26.0,0.026000000000000002,0.0,0.006351,-35.0781,6.04672e-12,0.0,0.004673,-35.0781,5.61329e-12,0.0,0.003427,-35.0781,6.13198e-12
27.0,0.027,0.0,0.005298,-37.7245,4.46931e-12,0.0,0.004561,-37.7245,5.96145e-12,0.0,0.003802,-37.7245,3.05533e-12
28.0,0.028,0.0,0.006573,-40.4673,7.86571e-12,0.0,0.004465,-40.4673,4.583e-12,0.0,0.004354,-40.4673,3.12639e-12
29.0,0.029,0.0,0.005774,-43.3062,5.45697e-12,0.0,0.004284,-43.3062,6.92779e-12,0.0,0.003397,-43.3062,8.17124e-12
30.0,0.03,0.0,0.004572,-46.2414,6.38778e-12,0.0,0.005018,-46.2414,6.57252e-12,0.0,0.004783,-46.2414,6.68621e-12
31.0,0.031,0.0,0.008697,-49.2729,8.14282e-12,0.0,0.00409,-49.2729,8.80362e-12,0.0,0.003515,-49.2729,5.77671e-12
32.0,0.032,0.0,0.009666,-52.4006,7.81597e-12,0.0,0.004651,-52.4006,7.90124e-12,0.0,0.003699,-52.4006,8.17835e-12
33.0,0.033,0.0,0.006625,-55.6245,6.12488e-12,0.0,0.003775,-55.6245,5.71987e-12,0.0,0.003243,-55.6245,6.60805e-12
