step,time_sec,barrier_active_samples,penalty_active_samples,barrier_solver_time_sec,penalty_solver_time_sec,barrier_energy_main,penalty_energy_main,barrier_energy_sub0,penalty_energy_sub0
0,0.0,0,0,0.005033,0.005468,,,,
1,0.001,0,0,0.005056,0.0053,-0.048118,-0.048118,6.82121e-12,6.82121e-12
2,0.002,0,0,0.003688,0.005059,-0.192472,-0.192472,9.09495e-12,9.09495e-12
3,0.003,0,0,0.006964,0.013103,-0.433062,-0.433062,4.33431e-12,4.33431e-12
4,0.004,0,0,0.004029,0.006072,-0.769889,-0.769889,1.34293e-12,1.20082e-12
5,0.005,0,0,0.004668,0.007019,-1.20295,-1.20295,5.60618e-12,5.60618e-12
6,0.006,0,0,0.006511,0.005206,-1.73225,-1.73225,1.25766e-12,8.95284e-13
7,0.007,0,0,0.004076,0.005289,-2.35778,-2.35778,3.20455e-12,3.5385e-12
8,0.008,0,0,0.004952,0.004065,-3.07955,-3.07955,3.26139e-12,3.70193e-12
9,0.009000000000000001,0,0,0.005697,0.00361,-3.89756,-3.89756,5.00933e-12,5.81224e-12
10,0.01,0,0,0.004705,0.003737,-4.8118,-4.8118,3.77298e-12,3.46034e-12
11,0.011,0,0,0.004885,0.00432,-5.82228,-5.82228,6.53699e-12,6.06803e-12
12,0.012,0,0,0.00408,0.003544,-6.929,-6.929,6.38067e-12,6.06093e-12
13,0.013000000000000001,0,0,0.00506,0.003712,-8.13195,-8.13195,6.52989e-12,6.06803e-12
14,0.014,0,0,0.004641,0.005567,-9.43114,-9.43114,4.20641e-12,6.27409e-12
15,0.015,0,0,0.004454,0.005708,-10.8266,-10.8266,8.14993e-12,8.18545e-12
16,0.016,0,0,0.003624,0.005188,-12.3182,-12.3182,7.17648e-12,8.06466e-12
17,0.017,0,0,0.005996,0.003798,-13.9061,-13.9061,7.92255e-12,8.61178e-12
18,0.018000000000000002,0,0,0.016983,0.004783,-15.5902,-15.5902,8.91021e-12,8.83205e-12
19,0.019,0,0,0.003446,0.004394,-17.3706,-17.3706,7.04148e-12,6.11777e-12
20,0.02,0,0,0.006123,0.00463,-19.2472,-19.2472,9.99023e-12,8.34177e-12
21,0.021,0,0,0.006089,0.004879,-21.2201,-21.2201,5.8975e-12,4.1922e-12
22,0.022,0,0,0.009251,0.009191,-23.2891,-23.2891,4.9738e-12,3.43192e-12
23,0.023,0,0,0.005619,0.022644,-25.4544,-25.4544,4.93117e-12,4.64695e-12
