step,time_sec,active_samples,solver_time_sec,grad_norm,solver_ret,energy_main,energy_sub0,energy_sub1
0,0.0,0,0.00433,1.64139e-10,0,-0.048118,6.82121e-12,
1,0.001,0,0.003766,1.53344e-10,0,-0.192472,9.09495e-12,
2,0.002,0,0.003853,3.44196e-10,0,-0.433062,4.33431e-12,
3,0.003,0,0.00387,2.56031e-10,0,-0.769889,1.20082e-12,
4,0.004,0,0.041611,3.14635e-10,0,-1.20295,5.60618e-12,
5,0.005,0,0.013879,2.87715e-10,0,-1.73225,8.95284e-13,
6,0.006,0,0.006463,3.29456e-10,0,-2.35778,3.5385e-12,
7,0.007,0,0.004299,4.26126e-10,0,-3.07955,3.13349e-12,
8,0.008,0,0.00452,3.75723e-10,0,-3.89756,6.09646e-12,
9,0.009000000000000001,0,0.003783,4.56242e-10,0,-4.8118,3.16192e-12,
10,0.01,0,0.004302,2.741e-10,0,-5.82228,7.49623e-12,
11,0.011,0,0.003585,2.9537e-10,0,-6.929,6.31672e-12,
12,0.012,0,0.005345,3.51553e-10,0,-8.13195,7.48912e-12,
13,0.013000000000000001,0,0.003734,3.54795e-10,0,-9.43114,4.78906e-12,
14,0.014,0,0.005012,3.83103e-10,0,-10.8266,5.97566e-12,
15,0.015,0,0.004291,3.70095e-10,0,-12.3182,7.09832e-12,
16,0.016,0,0.003752,3.78437e-10,0,-13.9061,7.7307e-12,
17,0.017,0,0.007304,3.82587e-10,0,-15.5902,6.68621e-12,
18,0.018000000000000002,0,0.004425,3.43055e-10,0,-17.3706,5.91172e-12,
19,0.019,0,0.004392,3.407e-10,0,-19.2472,7.2049e-12,
20,0.02,0,0.004016,5.29489e-10,0,-21.2201,7.11964e-12,
21,0.021,0,0.005192,4.54478e-10,0,-23.2891,5.21538e-12,
22,0.022,0,0.004148,3.57964e-10,0,-25.4544,5.65592e-12,
23,0.023,0,0.004903,3.51618e-10,0,-27.716,5.34328e-12,
24,0.024,0,0.046142,4.25093e-10,0,-30.0738,6.57252e-12,
25,0.025,0,0.005467,4.48247e-10,0,-32.5278,5.22959e-12,
26,0.026000000000000002,0,0.006351,4.3357e-10,0,-35.0781,6.04672e-12,
27,0.027,0,0.005298,4.4466e-10,0,-37.7245,4.46931e-12,
28,0.028,0,0.006573,4.38516e-10,0,-40.4673,7.86571e-12,
29,0.029,0,0.005774,4.42316e-10,0,-43.3062,5.45697e-12,
30,0.03,0,0.004572,4.07509e-10,0,-46.2414,6.38778e-12,
31,0.031,0,0.008697,4.40565e-10,0,-49.2729,8.14282e-12,
32,0.032,0,0.009666,4.39596e-10,0,-52.4006,7.81597e-12,
33,0.033,0,0.006625,4.12005e-10,0,-55.6245,6.12488e-12,
34,0.034,0,0.006804,4.31651e-10,0,-58.9446,5.50671e-12,
35,0.035,0,0.005786,4.11112e-10,0,-62.361,3.84404e-12,
36,0.036000000000000004,0,0.006116,3.95761e-10,0,-65.8736,5.18696e-12,
37,0.037,0,0.010589,4.38813e-10,0,-69.4825,6.09646e-12,
38,0.038,0,0.006065,4.38791e-10,0,-73.1875,5.7625e-12,
39,0.039,0,0.005659,3.91364e-10,0,-76.9889,4.93827e-12,
40,0.04,0,0.004543,4.26839e-10,0,-80.8864,5.98277e-12,
41,0.041,0,0.006081,4.87058e-10,0,-84.8802,6.06803e-12,
42,0.042,0,0.004405,4.65989e-10,0,-88.9703,6.69331e-12,
43,0.043000000000000003,0,0.005443,4.02515e-10,0,-93.1565,6.5441e-12,
44,0.044,0,0.059741,3.96821e-10,0,-97.439,7.42517e-12,
45,0.045,0,0.00581,3.89291e-10,0,-101.818,5.72697e-12,
46,0.046,0,0.007186,3.86652e-10,0,-106.293,7.39675e-12,
47,0.047,0,0.005543,5.07457e-10,0,-110.864,5.46407e-12,
48,0.048,0,0.004679,5.78367e-10,0,-115.531,5.35749e-12,
49,0.049,0,0.006306,4.81001e-10,0,-120.295,2.92033e-12,
50,0.05,0,0.004286,3.94949e-10,0,-125.155,7.55307e-12,
51,0.051000000000000004,0,0.005229,4.90121e-10,0,-130.111,3.87956e-12,
52,0.052000000000000005,0,0.016037,4.06e-10,0,-135.164,5.64881e-12,
53,0.053,0,0.010563,4.39768e-10,0,-140.312,4.82459e-12,
54,0.054,0,0.00561,4.29342e-10,0,-145.557,5.44986e-12,
55,0.055,0,0.004906,4.55965e-10,0,-150.898,4.61853e-12,
56,0.056,0,0.00544,4.03717e-10,0,-156.336,8.44125e-12,
57,0.057,0,0.004963,3.61039e-10,0,-161.869,6.1533e-12,
58,0.058,0,0.005495,4.08147e-10,0,-167.499,5.61329e-12,
59,0.059000000000000004,0,0.007274,4.02872e-10,0,-173.225,5.79803e-12,
60,0.06,0,0.005192,4.36502e-10,0,-179.047,5.76961e-12,
61,0.061,0,0.004307,5.15301e-10,0,-184.966,6.23857e-12,
62,0.062,0,0.005413,4.43075e-10,0,-190.981,8.10729e-12,
63,0.063,0,0.005623,4.14861e-10,0,-197.092,6.83542e-12,
64,0.064,0,0.056769,4.0239e-10,0,-203.299,8.22098e-12,
65,0.065,0,0.00461,4.07802e-10,0,-209.602,6.55831e-12,
66,0.066,0,0.003371,3.54835e-10,0,-216.002,5.97566e-12,
67,0.067,0,0.005135,3.68615e-10,0,-222.498,8.48388e-12,
68,0.068,0,0.006919,4.4828e-10,0,-229.09,6.1533e-12,
69,0.069,0,0.006399,3.26478e-10,0,-235.778,7.05569e-12,
70,0.07,0,0.008916,3.75151e-10,0,-242.563,5.59197e-12,
71,0.07100000000000001,0,0.007735,3.71451e-10,0,-249.444,4.63274e-12,
72,0.07200000000000001,0,0.00538,3.56403e-10,0,-256.421,4.51905e-12,
73,0.073,0,0.005916,4.32696e-10,0,-263.494,6.2883e-12,
74,0.074,0,0.005215,3.99446e-10,0,-270.664,5.80513e-12,
