step,time_sec,active_samples,solver_time_sec,grad_norm,solver_ret,energy_main,energy_sub0,energy_sub1
0,0.0,0,0.004259,1.64123e-10,0,-0.048118,6.82121e-12,
1,0.001,0,0.004848,1.53332e-10,0,-0.192472,9.09495e-12,
2,0.002,0,0.007286,3.44183e-10,0,-0.433062,4.33431e-12,
3,0.003,0,0.027355,2.62456e-10,0,-0.769889,1.34293e-12,
4,0.004,0,0.01309,3.12893e-10,0,-1.20295,5.60618e-12,
5,0.005,0,0.00416,2.94653e-10,0,-1.73225,1.25766e-12,
6,0.006,0,0.003753,3.05947e-10,0,-2.35778,3.20455e-12,
7,0.007,0,0.00423,3.88867e-10,0,-3.07955,3.11928e-12,
8,0.008,0,0.003525,3.48676e-10,0,-3.89756,5.00933e-12,
9,0.009000000000000001,0,0.00404,4.04597e-10,0,-4.8118,4.33431e-12,
10,0.01,0,0.003716,3.25815e-10,0,-5.82228,5.67013e-12,
11,0.011,0,0.004472,3.70986e-10,0,-6.929,5.08749e-12,
12,0.012,0,0.003662,3.68021e-10,0,-8.13195,5.69145e-12,
13,0.013000000000000001,0,0.003548,3.13359e-10,0,-9.43114,6.46594e-12,
14,0.014,0,0.003492,2.90399e-10,0,-10.8266,8.64731e-12,
15,0.015,0,0.003636,3.56971e-10,0,-12.3182,6.57963e-12,
16,0.016,0,0.004986,4.01003e-10,0,-13.9061,6.99174e-12,
17,0.017,0,0.003901,3.97271e-10,0,-15.5902,8.7681e-12,
18,0.018000000000000002,0,0.003357,3.60852e-10,0,-17.3706,8.52651e-12,
19,0.019,0,0.00553,3.72174e-10,0,-19.2472,7.02016e-12,
20,0.02,0,0.004049,5.49242e-10,0,-21.2201,6.16041e-12,
21,0.021,0,0.004382,3.945e-10,0,-23.2891,3.73035e-12,
22,0.022,0,0.004293,4.37792e-10,0,-25.4544,5.61329e-12,
23,0.023,0,0.004802,4.58862e-10,0,-27.716,4.11404e-12,
24,0.024,0,0.005621,3.77934e-10,0,-30.0738,5.64881e-12,
25,0.025,0,0.004093,3.47862e-10,0,-32.5278,4.73221e-12,
26,0.026000000000000002,0,0.009367,4.2306e-10,0,-35.0781,5.27223e-12,
27,0.027,0,0.006069,4.08005e-10,0,-37.7245,4.49063e-12,
28,0.028,0,0.004942,4.25172e-10,0,-40.4673,4.96669e-12,
29,0.029,0,0.008919,4.47259e-10,0,-43.3062,6.61515e-12,
30,0.03,0,0.009476,4.03594e-10,0,-46.2414,6.21014e-12,
31,0.031,0,0.005883,4.94751e-10,0,-49.2729,7.68097e-12,
32,0.032,0,0.004709,4.69602e-10,0,-52.4006,6.16041e-12,
33,0.033,0,0.005498,3.94166e-10,0,-55.6245,6.45173e-12,
34,0.034,0,0.006339,3.7387e-10,0,-58.9446,5.4925e-12,
35,0.035,0,0.004553,4.74076e-10,0,-62.361,7.68097e-12,
36,0.036000000000000004,0,0.016804,4.51547e-10,0,-65.8736,5.35039e-12,
37,0.037,0,0.005554,4.38712e-10,0,-69.4825,7.31148e-12,
38,0.038,0,0.005979,3.83806e-10,0,-73.1875,6.38067e-12,
39,0.039,0,0.003439,4.62376e-10,0,-76.9889,5.60618e-12,
40,0.04,0,0.006048,4.62841e-10,0,-80.8864,5.52092e-12,
41,0.041,0,0.0044,3.95102e-10,0,-84.8802,5.17986e-12,
42,0.042,0,0.006657,4.09901e-10,0,-88.9703,4.82459e-12,
43,0.043000000000000003,0,0.003559,4.03246e-10,0,-93.1565,8.66862e-12,
44,0.044,0,0.003693,4.18953e-10,0,-97.439,5.74829e-12,
45,0.045,0,0.003699,4.57929e-10,0,-101.818,4.20641e-12,
46,0.046,0,0.005356,4.77354e-10,0,-106.293,6.53699e-12,
47,0.047,0,0.004002,4.09793e-10,0,-110.864,6.11067e-12,
48,0.048,0,0.020926,5.011e-10,0,-115.531,6.18172e-12,
49,0.049,0,0.012682,4.64452e-10,0,-120.295,3.7943e-12,
50,0.05,0,0.003815,4.82333e-10,0,-125.155,9.51417e-12,
51,0.051000000000000004,0,0.005061,3.63879e-10,0,-130.111,7.64544e-12,
52,0.052000000000000005,0,0.003291,3.90442e-10,0,-135.164,6.92779e-12,
53,0.053,0,0.005449,3.44308e-10,0,-140.312,6.70752e-12,
54,0.054,0,0.005453,4.60727e-10,0,-145.557,4.36273e-12,
55,0.055,0,0.00364,3.93053e-10,0,-150.898,6.1533e-12,
56,0.056,0,0.004801,3.7967e-10,0,-156.336,7.62412e-12,
57,0.057,0,0.003676,4.11131e-10,0,-161.869,6.46594e-12,
58,0.058,0,0.005537,4.07872e-10,0,-167.499,5.8904e-12,
59,0.059000000000000004,0,0.004433,3.75664e-10,0,-173.225,5.71276e-12,
60,0.06,0,0.005255,4.20692e-10,0,-179.047,8.49099e-12,
61,0.061,0,0.00382,4.27935e-10,0,-184.966,8.42704e-12,
62,0.062,0,0.006173,4.30025e-10,0,-190.981,7.7236e-12,
63,0.063,0,0.003508,4.76629e-10,0,-197.092,7.40386e-12,
64,0.064,0,0.004111,4.56271e-10,0,-203.299,6.58673e-12,
65,0.065,0,0.006581,4.59043e-10,0,-209.602,8.10019e-12,
66,0.066,0,0.00374,4.0147e-10,0,-216.002,5.79803e-12,
67,0.067,0,0.004421,3.89544e-10,0,-222.498,8.91021e-12,
68,0.068,0,0.004833,4.18261e-10,0,-229.09,7.17648e-12,
69,0.069,0,0.005362,4.06575e-10,0,-235.778,6.55831e-12,
70,0.07,0,0.004107,3.6169e-10,0,-242.563,5.76961e-12,
71,0.07100000000000001,0,0.004423,3.75195e-10,0,-249.444,5.20828e-12,
72,0.07200000000000001,0,0.005479,4.09009e-10,0,-256.421,6.21014e-12,
73,0.073,0,0.004828,4.36075e-10,0,-263.494,5.8904e-12,
74,0.074,0,0.004929,4.15379e-10,0,-270.664,5.64881e-12,
75,0.075,0,0.005183,5.15072e-10,0,-277.93,7.43228e-12,
76,0.076,0,0.003405,4.3273e-10,0,-285.292,5.81224e-12,
77,0.077,0,0.005176,4.08822e-10,0,-292.75,8.2494e-12,
78,0.078,0,0.004023,3.89756e-10,0,-300.305,6.39488e-12,
79,0.079,0,0.010478,4.61922e-10,0,-307.955,5.98988e-12,
