step,time_sec,active_samples,solver_time_sec,grad_norm,solver_ret,energy_main,energy_sub0,energy_sub1
0,0.0,0,0.006837,1.64139e-10,0,-0.048118,6.82121e-12,
1,0.001,0,0.005266,1.53298e-10,0,-0.192472,9.09495e-12,
2,0.002,0,0.006634,3.44206e-10,0,-0.433062,4.33431e-12,
3,0.003,0,0.004419,2.56007e-10,0,-0.769889,1.20082e-12,
4,0.004,0,0.00398,3.14696e-10,0,-1.20295,5.60618e-12,
5,0.005,0,0.024771,2.89483e-10,0,-1.73225,8.95284e-13,
6,0.006,0,0.00478,3.34804e-10,0,-2.35778,3.5385e-12,
7,0.007,0,0.003961,4.18304e-10,0,-3.07955,3.41771e-12,
8,0.008,0,0.004454,3.69639e-10,0,-3.89756,6.08935e-12,
9,0.009000000000000001,0,0.004452,4.541e-10,0,-4.8118,2.87059e-12,
10,0.01,0,0.004066,2.70655e-10,0,-5.82228,6.71463e-12,
11,0.011,0,0.005184,2.8458e-10,0,-6.929,5.52802e-12,
12,0.012,0,0.00396,2.9751e-10,0,-8.13195,8.31335e-12,
13,0.013000000000000001,0,0.003483,3.39772e-10,0,-9.43114,4.53326e-12,
14,0.014,0,0.004045,3.61447e-10,0,-10.8266,6.91358e-12,
15,0.015,0,0.01709,3.3162e-10,0,-12.3182,6.09646e-12,
16,0.016,0,0.00444,4.02174e-10,0,-13.9061,8.64731e-12,
17,0.017,0,0.004766,3.44891e-10,0,-15.5902,7.89413e-12,
18,0.018000000000000002,0,0.003947,4.07533e-10,0,-17.3706,6.74305e-12,
19,0.019,0,0.004628,3.50392e-10,0,-19.2472,8.58336e-12,
20,0.02,0,0.004351,4.50866e-10,0,-21.2201,3.04112e-12,
21,0.021,0,0.00445,3.44252e-10,0,-23.2891,4.3201e-12,
22,0.022,0,0.006105,3.8055e-10,0,-25.4544,4.4551e-12,
23,0.023,0,0.003437,4.39775e-10,0,-27.716,4.56168e-12,
24,0.024,0,0.004925,4.30883e-10,0,-30.0738,6.09646e-12,
25,0.025,0,0.007401,4.79039e-10,0,-32.5278,5.46407e-12,
26,0.026000000000000002,0,0.003427,4.66571e-10,0,-35.0781,6.13198e-12,
27,0.027,0,0.003802,4.24543e-10,0,-37.7245,3.05533e-12,
28,0.028,0,0.004354,3.99572e-10,0,-40.4673,3.12639e-12,
29,0.029,0,0.003397,4.63411e-10,0,-43.3062,8.17124e-12,
30,0.03,0,0.004783,4.05812e-10,0,-46.2414,6.68621e-12,
31,0.031,0,0.003515,5.0384e-10,0,-49.2729,5.77671e-12,
32,0.032,0,0.003699,4.32575e-10,0,-52.4006,8.17835e-12,
33,0.033,0,0.003243,3.89759e-10,0,-55.6245,6.60805e-12,
34,0.034,0,0.003749,4.08213e-10,0,-58.9446,3.90799e-12,
35,0.035,0,0.00354,4.77539e-10,0,-62.361,4.78906e-12,
36,0.036000000000000004,0,0.004311,4.65135e-10,0,-65.8736,2.69296e-12,
37,0.037,0,0.003689,4.1076e-10,0,-69.4825,4.79616e-12,
38,0.038,0,0.003319,4.16087e-10,0,-73.1875,5.66303e-12,
39,0.039,0,0.003557,5.24479e-10,0,-76.9889,5.40723e-12,
40,0.04,0,0.003663,4.96135e-10,0,-80.8864,6.16041e-12,
41,0.041,0,0.004645,5.62307e-10,0,-84.8802,5.80513e-12,
42,0.042,0,0.00427,3.65755e-10,0,-88.9703,4.75353e-12,
43,0.043000000000000003,0,0.004182,3.13697e-10,0,-93.1565,6.19593e-12,
44,0.044,0,0.004316,3.85563e-10,0,-97.439,5.78382e-12,
45,0.045,0,0.004997,3.46786e-10,0,-101.818,6.11067e-12,
46,0.046,0,0.058428,3.78433e-10,0,-106.293,5.7554e-12,
47,0.047,0,0.004633,4.28759e-10,0,-110.864,5.05196e-12,
48,0.048,0,0.005215,4.26659e-10,0,-115.531,6.73595e-12,
49,0.049,0,0.048024,4.8172e-10,0,-120.295,5.53513e-12,
50,0.05,0,0.00442,4.40771e-10,0,-125.155,8.17835e-12,
51,0.051000000000000004,0,0.00336,4.73458e-10,0,-130.111,5.70566e-12,
52,0.052000000000000005,0,0.003365,3.84534e-10,0,-135.164,4.90274e-12,
53,0.053,0,0.003382,3.5312e-10,0,-140.312,5.77671e-12,
54,0.054,0,0.003873,4.12201e-10,0,-145.557,6.37357e-12,
55,0.055,0,0.003738,3.94623e-10,0,-150.898,3.76588e-12,
56,0.056,0,0.005032,4.3895e-10,0,-156.336,7.09832e-12,
57,0.057,0,0.009838,3.73713e-10,0,-161.869,7.78044e-12,
58,0.058,0,0.004038,3.59076e-10,0,-167.499,6.56541e-12,
59,0.059000000000000004,0,0.004432,3.77237e-10,0,-173.225,4.54037e-12,
60,0.06,0,0.005117,4.43048e-10,0,-179.047,6.03961e-12,
61,0.061,0,0.003645,4.08145e-10,0,-184.966,6.78568e-12,
62,0.062,0,0.005889,3.98986e-10,0,-190.981,7.24043e-12,
63,0.063,0,0.005815,3.98619e-10,0,-197.092,5.21538e-12,
64,0.064,0,0.005282,3.62743e-10,0,-203.299,6.50857e-12,
65,0.065,0,0.00445,4.72981e-10,0,-209.602,4.77485e-12,
66,0.066,0,0.008551,4.18988e-10,0,-216.002,6.76437e-12,
67,0.067,0,0.004461,4.02295e-10,0,-222.498,8.3773e-12,
68,0.068,0,0.00528,4.33927e-10,0,-229.09,6.6791e-12,
69,0.069,0,0.00499,3.71737e-10,0,-235.778,5.96856e-12,
70,0.07,0,0.004752,3.81627e-10,0,-242.563,1.0175e-11,
71,0.07100000000000001,0,0.004652,4.12604e-10,0,-249.444,6.23146e-12,
72,0.07200000000000001,0,0.004063,3.87553e-10,0,-256.421,5.86908e-12,
73,0.073,0,0.116826,3.59036e-10,0,-263.494,7.68807e-12,
74,0.074,0,0.003696,3.46412e-10,0,-270.664,7.04858e-12,
75,0.075,0,0.003634,4.53777e-10,0,-277.93,7.2049e-12,
76,0.076,0,0.003636,3.73306e-10,0,-285.292,5.20828e-12,
77,0.077,0,0.003334,3.95045e-10,0,-292.75,7.11253e-12,
78,0.078,0,0.003375,3.90394e-10,0,-300.305,7.64544e-12,
79,0.079,0,0.00496,4.03642e-10,0,-307.955,7.54596e-12,
80,0.08,0,0.003347,3.51781e-10,0,-315.702,6.89937e-12,
81,0.081,0,0.003491,4.1181e-10,0,-323.546,7.22622e-12,
82,0.082,0,0.003328,4.06614e-10,0,-331.485,6.35936e-12,
83,0.083,0,0.004458,4.73722e-10,0,-339.521,8.71836e-12,
84,0.084,0,0.003691,3.51953e-10,0,-347.653,6.24567e-12,
85,0.085,0,0.003535,3.85126e-10,0,-355.881,6.8141e-12,
86,0.08600000000000001,0,0.004774,3.49894e-10,0,-364.205,6.48015e-12,
87,0.08700000000000001,0,0.005709,4.86215e-10,0,-372.626,3.97904e-12,
